,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,comment
332,4,new,146,1564,1566,26M 4S,26M 6S,,,,
333,4,new,148,1568,1590,26M 8S,26M 30S,,,,
334,4,new,181,1842,1846,30M 42S,30M 46S,,,,
335,4,new,205,2038,2042,33M 58S,34M 2S,,,,
336,4,new,237,2196,2198,36M 36S,36M 38S,,,,
337,4,new,277,2374,2382,39M 34S,39M 42S,,,,
338,4,new,278,2384,2394,39M 44S,39M 54S,,,,
339,4,new,288,2484,2520,41M 24S,42M 0S,,,,
340,4,new,293,2542,2566,42M 22S,42M 46S,,,,
341,4,new,301,2580,2598,43M 0S,43M 18S,,,,
342,4,new,307,2622,2632,43M 42S,43M 52S,,,,
343,4,new,311,2648,2650,44M 8S,44M 10S,,,,
344,4,new,315,2730,2736,45M 30S,45M 36S,,,,
345,6,new,19,516,526,8M 36S,8M 46S,,,,
346,6,new,24,544,742,9M 4S,12M 22S,,,,
347,6,new,115,2032,2050,33M 52S,34M 10S,,,,
348,6,new,118,2050,2052,34M 10S,34M 12S,,,,
349,6,new,119,2056,2122,34M 16S,35M 22S,,,,
350,6,new,128,2354,2366,39M 14S,39M 26S,,,,
351,6,new,140,2476,2486,41M 16S,41M 26S,,,,
352,6,new,149,2510,2538,41M 50S,42M 18S,,,,
353,6,new,171,2816,2964,46M 56S,49M 24S,,,,
354,6,new,178,2970,3000,49M 30S,50M 0S,,,,
355,6,new,185,3026,3028,50M 26S,50M 28S,,,,
356,6,new,188,3034,3122,50M 34S,52M 2S,,,,
357,6,new,193,3130,3222,52M 10S,53M 42S,,,,
358,6,new,199,3234,3266,53M 54S,54M 26S,,,,
359,6,new,235,3568,3576,59M 28S,59M 36S,,,,
360,6,new,246,3760,3794,1H 2M 40S,1H 3M 14S,,,,
361,6,new,250,3804,3806,1H 3M 24S,1H 3M 26S,,,,
362,6,new,252,3814,3818,1H 3M 34S,1H 3M 38S,,,,
363,6,new,261,3904,3936,1H 5M 4S,1H 5M 36S,,,,
364,6,new,263,3946,3952,1H 5M 46S,1H 5M 52S,,,,
365,6,new,265,3972,3984,1H 6M 12S,1H 6M 24S,,,,
366,6,new,271,4002,4012,1H 6M 42S,1H 6M 52S,,,,
367,6,new,295,4282,4286,1H 11M 22S,1H 11M 26S,,,,
368,6,new,296,4288,4290,1H 11M 28S,1H 11M 30S,,,,
369,6,new,299,4324,4334,1H 12M 4S,1H 12M 14S,,,,
370,6,new,306,4374,4378,1H 12M 54S,1H 12M 58S,,,,
371,6,new,308,4438,4450,1H 13M 58S,1H 14M 10S,,,,
372,6,new,313,4616,4618,1H 16M 56S,1H 16M 58S,,,,
373,6,new,321,4864,4866,1H 21M 4S,1H 21M 6S,,,,
374,6,new,328,4980,4988,1H 23M 0S,1H 23M 8S,,,,
375,6,new,336,5078,5080,1H 24M 38S,1H 24M 40S,,,,
376,7,new,7,106,110,1M 46S,1M 50S,,,,
377,7,new,12,124,132,2M 4S,2M 12S,,,,
378,7,new,15,168,214,2M 48S,3M 34S,,,,
379,7,new,36,498,518,8M 18S,8M 38S,,,,
380,7,new,38,530,550,8M 50S,9M 10S,,,,
381,7,new,42,1050,1052,17M 30S,17M 32S,,,,
382,7,new,43,1064,1074,17M 44S,17M 54S,,,,
383,7,new,64,1596,1628,26M 36S,27M 8S,,,,
384,7,new,69,1632,1646,27M 12S,27M 26S,,,,
385,7,new,72,1650,1652,27M 30S,27M 32S,,,,
386,7,new,74,1696,1710,28M 16S,28M 30S,,,,
387,7,new,77,1712,1738,28M 32S,28M 58S,,,,
388,8,new,10,118,132,1M 58S,2M 12S,,,,
389,8,new,24,250,252,4M 10S,4M 12S,,,,
390,8,new,28,302,304,5M 2S,5M 4S,,,,
391,8,new,31,318,320,5M 18S,5M 20S,,,,
392,8,new,44,386,452,6M 26S,7M 32S,,,,
393,8,new,47,474,544,7M 54S,9M 4S,,,,
